<PAD>	0
<UNK>	1
你	2
好	3
，	4
麻	5
烦	6
帮	7
我	8
推	9
荐	10
一	11
个	12
门	13
票	14
免	15
费	16
的	17
景	18
点	19
。	20
您	21
可	22
以	23
选	24
择	25
故	26
宫	27
八	28
达	29
岭	30
长	31
城	32
颐	33
和	34
园	35
或	36
者	37
红	38
砖	39
美	40
术	41
馆	42
这	43
几	44
中	45
哪	46
评	47
分	48
为	49
5	50
？	51
那	52
地	53
址	54
在	55
游	56
玩	57
时	58
间	59
大	60
概	61
是	62
多	63
再	64
看	65
下	66
拿	67
渡	68
辣	69
香	70
锅	71
(	72
万	73
广	74
场	75
店	76
)	77
营	78
业	79
家	80
少	81
请	82
最	83
低	84
价	85
格	86
400	87
-	88
500	89
元	90
酒	91
4	92
.	93
上	94
周	95
边	96
有	97
些	98
呢	99
谢	100
啦	101
没	102
了	103
想	104
找	105
提	106
供	107
叫	108
醒	109
服	110
务	111
经	112
济	113
型	114
住	115
宿	116
吗	117
嗯	118
去	119
欣	120
燕	121
都	122
连	123
锁	124
北	125
京	126
珠	127
市	128
口	129
知	130
道	131
它	132
电	133
话	134
记	135
明	136
天	137
要	138
出	139
觉	140
得	141
海	142
洋	143
应	144
该	145
能	146
挺	147
里	148
久	149
还	150
不	151
错	152
联	153
系	154
太	155
之	156
后	157
肯	158
定	159
饿	160
先	161
物	162
色	163
人	164
均	165
消	166
100	167
150	168
菜	169
腰	170
子	171
餐	172
什	173
么	174
建	175
议	176
其	177
他	178
告	179
诉	180
真	181
！	182
别	183
客	184
气	185
祝	186
用	187
愉	188
快	189
位	190
雅	191
悦	192
西	193
直	194
啥	195
方	196
妈	197
吃	198
饭	199
酸	200
蕨	201
根	202
粉	203
抱	204
歉	205
完	206
全	207
符	208
合	209
求	210
过	211
青	212
年	213
厅	214
91	215
约	216
同	217
学	218
吧	219
童	220
树	221
屋	222
适	223
20	224
50	225
1	226
小	227
2	228
国	229
剧	230
院	231
啊	232
结	233
束	234
无	235
烟	236
房	237
瑞	238
尔	239
威	240
站	241
处	242
烧	243
麦	244
前	245
问	246
题	247
安	248
排	249
行	250
就	251
尝	252
呗	253
溜	254
会	255
给	256
对	257
梅	258
生	259
崇	260
拜	261
休	262
息	263
所	264
谓	265
类	266
呀	267
办	268
法	269
十	270
风	271
名	272
胜	273
区	274
很	275
儿	276
收	277
到	278
12	279
3	280
居	281
庸	282
关	283
贵	284
附	285
近	286
累	287
鑫	288
星	289
查	290
询	291
从	292
打	293
车	294
租	295
牌	296
基	297
辅	298
罗	299
斯	300
翠	301
微	302
坐	303
铁	304
发	305
目	306
朋	307
友	308
转	309
200	310
、	311
条	312
件	313
尚	314
·	315
沃	316
褔	317
农	318
190	319
左	320
右	321
内	322
芳	323
草	324
画	325
廊	326
高	327
谁	328
酱	329
炖	330
鱼	331
并	332
且	333
静	334
心	335
商	336
把	337
龙	338
鼎	339
华	340
云	341
女	342
自	343
制	344
豆	345
腐	346
平	347
食	348
府	349
超	350
级	351
至	352
尊	353
金	354
枪	355
沙	356
拉	357
两	358
怎	359
外	360
聚	361
们	362
旁	363
接	364
来	365
算	366
底	367
世	368
界	369
博	370
览	371
便	372
感	373
式	374
然	375
黑	376
虎	377
虾	378
见	379
活	380
辽	381
垣	382
非	383
常	384
